,curso,regime,Media_Nota
480,Química,Diurno,153.59
481,Criminologia e Justiça Criminal,Diurno,173.79
482,Gestão de Recursos Humanos,Diurno,152.65
483,História Moderna e Contemporânea,Diurno,151.88
484,Mediação Artística e Cultural,Diurno,139.04
485,Gerontologia Social,Diurno,135.21
486,Engenharia de Telecomunicações e Informática,Diurno,144.79
487,Engenharia de Sistemas Informáticos,Diurno,163.63
488,Enfermagem (entrada no 2.º semestre),Diurno,130.72
489,Tecnologias de Energia,Diurno,135.12
490,Tecnologias do Ambiente e do Mar,Diurno,129.11
491,Design e Tecnologia das Artes Gráficas,Diurno,138.28
492,Tecnologia e Gestão Industrial,Noturno,126.49
493,Tecnologias e Sistemas de Informação para a Web,Diurno,144.23
494,Artes Plásticas e Tecnologias Artísticas,Diurno,155.32
495,Engenharia Mecânica Automóvel,Diurno,158.49
496,Fotografia,Diurno,148.12
497,Tecnologia Química,Diurno,145.75
498,Biorrecursos,Diurno,154.61
499,Artes e Cinema Digital,Diurno,152.55
500,Cinema e Audiovisual,Diurno,163.57
501,Gerontologia,Diurno,131.3
502,Conservação e Restauro,Diurno,150.24
503,"Engenharia de Automação, Controlo e Instrumentação",Diurno,135.0
