,codigo_curso,curso,codigo_estabelecimento,estabelecimento,escola,regime_pos_laboral,regime_noturno,total_candidatos,total_colocados
596,9194,Línguas e Estudos Editoriais,300,Universidade de Aveiro,D,0,0,179,25
597,9238,Serviço Social,3101,Instituto Politécnico de Leiria,Escola Superior de Educação e Ciências Sociais,0,0,233,40
598,L131,Gestão da Restauração e Catering,3139,Instituto Politécnico do Porto,Escola Superior de Hotelaria e Turismo,0,0,116,30
599,L116,Secretariado de Administração,3186,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Lamego,0,0,77,22
600,L068,Ciências Biomédicas Laboratoriais,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,431,60
601,9455,Engenharia Biomédica,1000,Universidade do Minho,D,0,0,318,65
602,9002,Administração Pública,300,Universidade de Aveiro,D,0,0,395,56
603,9179,"Gestão Turística, Cultural e Patrimonial",3186,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Lamego,0,0,49,7
604,9549,Farmácia,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,358,50
605,9011,Biologia,300,Universidade de Aveiro,D,0,0,571,98
606,9797,Relações Humanas e Comunicação Organizacional,3101,Instituto Politécnico de Leiria,Escola Superior de Educação e Ciências Sociais,0,0,220,39
607,9096,Engenharia de Materiais,1000,Universidade do Minho,D,0,0,147,27
608,9026,Ciências da Educação,507,Universidade de Coimbra,Faculdade de Psicologia e de Ciências da Educação,0,0,382,73
609,9155,Gestão de Informação,906,Universidade Nova de Lisboa,Instituto Superior de Estatística e Gestão de Informação,0,0,351,66
610,9257,Arquitetura,1000,Universidade do Minho,D,0,0,434,56
611,8342,Comunicação Organizacional,3062,Instituto Politécnico de Coimbra,Escola Superior de Educação de Coimbra,1,0,98,27
612,9240,Sociologia,1516,Universidade de Lisboa,Instituto Superior de Ciências Sociais e Políticas,0,0,389,48
613,L221,Engenharia Aeroespacial,1000,Universidade do Minho,D,0,0,272,31
614,9212,"Meteorologia, Oceanografia e Geofísica",1503,Universidade de Lisboa,Faculdade de Ciências,0,0,95,23
615,9119,Engenharia Informática,3064,Instituto Politécnico de Coimbra,Instituto Superior de Engenharia de Coimbra,0,0,666,140
616,9855,Energia e Ambiente,3092,Instituto Politécnico da Guarda,Escola Superior de Tecnologia e Gestão,0,0,14,1
617,9204,"Línguas, Literaturas e Culturas",1107,Universidade do Porto,Faculdade de Letras,0,0,556,80
618,9152,Gestão de Empresas,3023,Instituto Politécnico de Beja,Escola Superior de Tecnologia e de Gestão,0,0,163,36
619,L335,Design de Equipamento e Ambientes,3092,Instituto Politécnico da Guarda,Escola Superior de Tecnologia e Gestão,0,0,53,19
620,9494,Ciências Farmacêuticas,1106,Universidade do Porto,Faculdade de Farmácia,0,0,798,175
621,9729,Design Gráfico e Multimédia,3103,Instituto Politécnico de Leiria,Escola Superior de Artes e Design,0,0,548,81
622,9104,Engenharia e Gestão Industrial,3064,Instituto Politécnico de Coimbra,Instituto Superior de Engenharia de Coimbra,0,0,124,25
623,L269,Engenharia de Sistemas e Tecnologias Informáticas,3083,Universidade do Algarve,Instituto Superior de Engenharia,0,0,59,7
624,9457,Som e Imagem,3103,Instituto Politécnico de Leiria,Escola Superior de Artes e Design,0,0,310,67
625,9005,Animação Sociocultural,3091,Instituto Politécnico da Guarda,"Escola Superior de Educação, Comunicação e Desporto",0,0,42,9
626,8439,Publicidade e Marketing,3113,Instituto Politécnico de Lisboa,Escola Superior de Comunicação Social,1,0,331,32
627,8111,Gestão de Recursos Humanos,1516,Universidade de Lisboa,Instituto Superior de Ciências Sociais e Políticas,1,0,188,52
628,9563,Desporto,3091,Instituto Politécnico da Guarda,"Escola Superior de Educação, Comunicação e Desporto",0,0,283,51
629,9105,Engenharia Eletromecânica,3064,Instituto Politécnico de Coimbra,Instituto Superior de Engenharia de Coimbra,0,0,42,8
630,8014,Serviço Social,3121,Instituto Politécnico de Portalegre,Escola Superior de Educação e Ciências Sociais,1,0,18,2
631,9385,Matemática Aplicada,1503,Universidade de Lisboa,Faculdade de Ciências,0,0,394,77
632,9148,Gestão,3087,Universidade do Algarve,"Escola Superior de Gestão, Hotelaria e Turismo (Portimão)",0,1,27,6
633,8093,Animação Socioeducativa,3062,Instituto Politécnico de Coimbra,Escola Superior de Educação de Coimbra,1,0,44,15
634,9675,Animação Socioeducativa,3062,Instituto Politécnico de Coimbra,Escola Superior de Educação de Coimbra,0,0,175,39
635,9040,Ciências da Linguagem,1107,Universidade do Porto,Faculdade de Letras,0,0,165,24
636,9003,Agronomia,3021,Instituto Politécnico de Beja,Escola Superior Agrária,0,0,48,9
637,8339,Comunicação Multimédia,3091,Instituto Politécnico da Guarda,"Escola Superior de Educação, Comunicação e Desporto",0,0,138,35
638,9119,Engenharia Informática,1503,Universidade de Lisboa,Faculdade de Ciências,0,0,836,105
639,9770,Engenharia Informática (Curso Europeu),3064,Instituto Politécnico de Coimbra,Instituto Superior de Engenharia de Coimbra,0,0,127,20
640,9994,Gestão de Empresas,3023,Instituto Politécnico de Beja,Escola Superior de Tecnologia e de Gestão,1,0,6,2
641,9242,Solicitadoria,3054,Instituto Politécnico de Castelo Branco,Escola Superior de Gestão de Idanha-a-Nova,0,0,171,41
642,9023,Ciências da Comunicação,1107,Universidade do Porto,Faculdade de Letras,0,0,627,75
643,8377,Engenharia Florestal e dos Recursos Naturais,1515,Universidade de Lisboa,Instituto Superior de Agronomia,0,0,46,7
644,9098,Engenharia de Telecomunicações e Informática,1519,Universidade de Lisboa,Instituto Superior Técnico (Tagus Park),0,0,173,44
645,8438,Relações Públicas e Comunicação Empresarial,3113,Instituto Politécnico de Lisboa,Escola Superior de Comunicação Social,1,0,232,29
646,9099,Engenharia do Ambiente,3021,Instituto Politécnico de Beja,Escola Superior Agrária,0,0,2,0
647,9006,Arqueologia,1107,Universidade do Porto,Faculdade de Letras,0,0,151,29
648,9181,História,1107,Universidade do Porto,Faculdade de Letras,0,0,529,77
649,L218,Engenharia Eletrónica Industrial e Computadores,1000,Universidade do Minho,D,0,0,317,88
650,9731,Desporto e Lazer,3062,Instituto Politécnico de Coimbra,Escola Superior de Educação de Coimbra,0,0,144,30
651,L215,Engenharia e Gestão de Sistemas de Informação,1000,Universidade do Minho,D,0,0,546,141
652,8014,Serviço Social,1516,Universidade de Lisboa,Instituto Superior de Ciências Sociais e Políticas,1,0,152,32
653,9089,Engenharia Civil,3092,Instituto Politécnico da Guarda,Escola Superior de Tecnologia e Gestão,0,0,3,0
654,9010,Audiovisual e Multimédia,3113,Instituto Politécnico de Lisboa,Escola Superior de Comunicação Social,0,0,518,89
655,8114,Turismo,3062,Instituto Politécnico de Coimbra,Escola Superior de Educação de Coimbra,1,0,55,22
656,9222,Publicidade e Marketing,3113,Instituto Politécnico de Lisboa,Escola Superior de Comunicação Social,0,0,803,60
657,9238,Serviço Social,3022,Instituto Politécnico de Beja,Escola Superior de Educação,0,0,157,52
658,9023,Ciências da Comunicação,1516,Universidade de Lisboa,Instituto Superior de Ciências Sociais e Políticas,0,0,300,57
659,9147,Gestão,3054,Instituto Politécnico de Castelo Branco,Escola Superior de Gestão de Idanha-a-Nova,0,0,189,31
660,L021,Gestão Comercial,3054,Instituto Politécnico de Castelo Branco,Escola Superior de Gestão de Idanha-a-Nova,0,0,58,11
661,9243,Teatro,3103,Instituto Politécnico de Leiria,Escola Superior de Artes e Design,0,0,119,24
662,L196,Mecânica e Informática Industrial,3092,Instituto Politécnico da Guarda,Escola Superior de Tecnologia e Gestão,0,0,72,15
663,9147,Gestão,3087,Universidade do Algarve,"Escola Superior de Gestão, Hotelaria e Turismo (Portimão)",0,0,176,31
664,9084,Educação Social,3121,Instituto Politécnico de Portalegre,Escola Superior de Educação e Ciências Sociais,0,0,98,25
665,8109,Sociologia,1516,Universidade de Lisboa,Instituto Superior de Ciências Sociais e Políticas,1,0,183,31
666,9894,Comunicação e Design Multimédia,3062,Instituto Politécnico de Coimbra,Escola Superior de Educação de Coimbra,0,0,269,39
667,9473,Educação Social Gerontológica,3091,Instituto Politécnico da Guarda,"Escola Superior de Educação, Comunicação e Desporto",0,0,16,3
668,9876,Educação Básica,3112,Instituto Politécnico de Lisboa,Escola Superior de Educação,1,0,139,22
669,9192,Línguas Aplicadas,1107,Universidade do Porto,Faculdade de Letras,0,0,526,61
670,8364,Relações Internacionais,1516,Universidade de Lisboa,Instituto Superior de Ciências Sociais e Políticas,1,0,253,54
671,9182,História da Arte,1107,Universidade do Porto,Faculdade de Letras,0,0,281,38
672,9668,Gerontologia Social,3062,Instituto Politécnico de Coimbra,Escola Superior de Educação de Coimbra,0,0,142,41
673,9129,Engenharia Zootécnica,1515,Universidade de Lisboa,Instituto Superior de Agronomia,0,0,92,20
674,9223,Química,1503,Universidade de Lisboa,Faculdade de Ciências,0,0,156,27
675,8463,Engenharia das Energias Renováveis,3053,Instituto Politécnico de Castelo Branco,Escola Superior de Tecnologia de Castelo Branco,0,0,5,0
676,9240,Sociologia,1107,Universidade do Porto,Faculdade de Letras,0,0,470,44
677,9254,Turismo,3121,Instituto Politécnico de Portalegre,Escola Superior de Educação e Ciências Sociais,0,0,74,13
678,9254,Turismo,3062,Instituto Politécnico de Coimbra,Escola Superior de Educação de Coimbra,0,0,236,35
679,L127,Programação e Produção Cultural,3103,Instituto Politécnico de Leiria,Escola Superior de Artes e Design,0,0,98,23
680,L251,Literatura e Estudos Interartes,1107,Universidade do Porto,Faculdade de Letras,0,0,187,42
