,codigo_curso,curso,codigo_estabelecimento,estabelecimento,escola,regime_pos_laboral,regime_noturno,total_candidatos_1op,total_colocados_1op,proporcao_colocados
196,9084,Educação Social,3101,Instituto Politécnico de Leiria,Escola Superior de Educação e Ciências Sociais,0,0,33,25,75.8
197,L209,Engenharia Eletrotécnica e de Computadores,1203,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências e Tecnologia,0,0,2,2,100.0
198,9119,Engenharia Informática,203,Universidade do Algarve,Faculdade de Ciências e Tecnologia,0,0,63,63,100.0
199,9125,Engenharia Química,1518,Universidade de Lisboa,Instituto Superior Técnico,0,0,73,42,57.5
200,9205,Marketing,3045,Instituto Politécnico de Bragança,"Escola Superior de Comunicação, Administração e Turismo de Mirandela",0,0,18,8,44.4
201,9125,Engenharia Química,300,Universidade de Aveiro,D,0,0,24,24,100.0
202,8262,Biologia Humana,602,Universidade de Évora,Escola de Ciências e Tecnologia,0,0,19,19,100.0
203,9123,Engenharia Mecânica,3102,Instituto Politécnico de Leiria,Escola Superior de Tecnologia e Gestão,0,0,24,24,100.0
204,8002,Línguas e Culturas Estrangeiras,3131,Instituto Politécnico do Porto,Escola Superior de Educação,0,0,61,33,54.1
205,9563,Desporto,3151,Instituto Politécnico de Setúbal,Escola Superior de Educação,0,0,66,23,34.8
206,9168,Gestão e Informática,3186,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Lamego,0,0,8,8,100.0
207,9210,Matemática Aplicada à Economia e à Gestão,602,Universidade de Évora,Escola de Ciências e Tecnologia,0,0,13,13,100.0
208,9209,Matemática,602,Universidade de Évora,Escola de Ciências e Tecnologia,0,0,9,9,100.0
209,9540,Bioengenharia,1204,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências da Vida e do Ambiente,0,0,11,11,100.0
210,9026,Ciências da Educação,604,Universidade de Évora,Escola de Ciências Sociais,0,0,14,10,71.4
211,9238,Serviço Social,1202,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências Humanas e Sociais,0,0,42,17,40.5
212,9041,Ciências do Mar,300,Universidade de Aveiro,D,0,0,19,11,57.9
213,8156,Gestão de Atividades Turísticas,3034,Instituto Politécnico do Cávado e do Ave,Escola Superior de Hotelaria e Turismo,0,0,23,15,65.2
214,9123,Engenharia Mecânica,3163,Instituto Politécnico de Viana do Castelo,Escola Superior de Tecnologia e Gestão,0,0,9,9,100.0
215,9109,Engenharia Eletrotécnica,3182,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Viseu,0,0,3,3,100.0
